venue,capacity,source
Mattamy Athletic Centre,2638,https://www.mattamyathleticcentre.ca/assets/doc/Event-Guide-da171e77da.pdf
TD Place               ,8585,https://en.wikipedia.org/wiki/TD_Place_Arena
Tsongas Center         ,6500,https://tsongascenter.com/pages/about-the-tsongas-center
Total Mortgage Arena   ,8412,https://www.stadiumjourney.com/stadiums/webster-bank-arena-s872
Xcel Energy Center     ,17954,https://en.wikipedia.org/wiki/Xcel_Energy_Center
UBS Arena              ,17255,https://ubsarena.com/about-the-arena/faqs/
Verdun Auditorium      ,4114,https://en.wikipedia.org/wiki/Verdun_Auditorium
Place Bell             ,10062,https://en.wikipedia.org/wiki/Place_Bell
Scotiabank Arena       ,18800,https://www.scotiabankarena.com/venue-information/about
3M Arena at Mariucci   ,10257,https://en.wikipedia.org/wiki/3M_Arena_at_Mariucci
Little Caesars Arena   ,19515,https://en.wikipedia.org/wiki/Little_Caesars_Arena
PPG Paints Arena       ,18187,https://www.ppgpaintsarena.com/ppg-paints-arena/faqs
