"player_id","first_name","last_name","position","team_id","game_id","league","toi","time_on_ice","saves","goals_against","shots_against","goals","assists","points","penalty_minutes","faceoff_attempts","faceoff_wins","faceoff_losses","faceoff_pct","starting"
"70","Erica","Howe","G",6,2,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,2,"pwhl","59:59",60,24,4,28,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,2,"pwhl","59:59",60,29,0,29,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,2,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"48","Sandra","Abstreiter","G",5,3,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,3,"pwhl","61:04",61.1,21,3,24,0,0,0,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,3,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,3,"pwhl","61:04",61.1,26,2,28,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,4,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,4,"pwhl","60:00",60,13,3,16,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,4,"pwhl","60:00",60,33,2,35,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,4,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"155","Corinne","Schroeder","G",4,5,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,5,"pwhl","59:08",59.1,34,3,37,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,5,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,5,"pwhl","60:00",60,29,2,31,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,6,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,6,"pwhl","60:00",60,24,0,24,0,0,0,0,0,0,0,NA,1
"166","Marlène","Boissonnault","G",3,6,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,6,"pwhl","58:56",58.9,19,2,21,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,9,"pwhl","60:00",60,30,4,34,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,9,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,9,"pwhl","60:00",60,30,2,32,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,9,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"22","Nicole","Hensley","G",2,8,"pwhl","60:00",60,31,1,32,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,8,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,8,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,8,"pwhl","58:08",58.1,26,3,29,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,10,"pwhl","40:00",40,13,2,15,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,10,"pwhl","20:00",20,8,3,11,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,10,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,10,"pwhl","60:00",60,23,1,24,0,1,1,0,0,0,0,NA,1
"85","Elaine","Chuli","G",3,11,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,11,"pwhl","62:13",62.2,18,3,21,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,11,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,11,"pwhl","62:11",62.2,31,2,33,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,12,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"123","Maddie","Rooney","G",2,12,"pwhl","64:01",64,26,3,29,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,12,"pwhl","63:53",63.9,39,2,41,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,12,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,13,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,13,"pwhl","60:00",60,30,2,32,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,13,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"41","Abigail","Levy","G",4,13,"pwhl","58:15",58.2,27,3,30,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,15,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,15,"pwhl","61:57",62,18,3,21,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,15,"pwhl","61:57",62,24,2,26,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,15,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,14,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,14,"pwhl","58:42",58.7,19,3,22,0,0,0,0,0,0,0,NA,1
"19","Emma","Söderberg","G",1,14,"pwhl","60:00",60,30,2,32,0,0,0,0,0,0,0,NA,1
"6","Aerin","Frankel","G",1,14,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,16,"pwhl","22:04",22.1,10,3,13,0,0,0,0,0,0,0,NA,1
"6","Aerin","Frankel","G",1,16,"pwhl","37:39",37.6,5,0,5,0,0,0,0,0,0,0,NA,0
"155","Corinne","Schroeder","G",4,16,"pwhl","60:00",60,32,1,33,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,16,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,17,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,17,"pwhl","64:02",64,36,3,39,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,17,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,17,"pwhl","65:00",65,21,3,24,0,0,0,0,0,0,0,NA,1
"48","Sandra","Abstreiter","G",5,18,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"59","Emerance","Maschmeyer","G",5,18,"pwhl","60:00",60,30,1,31,0,0,0,0,0,0,0,NA,1
"70","Erica","Howe","G",6,18,"pwhl","58:27",58.5,17,2,19,0,0,0,0,0,0,0,NA,1
"64","Kristen","Campbell","G",6,18,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"48","Sandra","Abstreiter","G",5,19,"pwhl","17:37",17.6,10,2,12,0,0,0,0,0,0,0,NA,1
"59","Emerance","Maschmeyer","G",5,19,"pwhl","42:08",42.1,18,1,19,0,0,0,0,0,0,0,NA,0
"19","Emma","Söderberg","G",1,19,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"6","Aerin","Frankel","G",1,19,"pwhl","60:00",60,37,2,39,0,0,0,0,0,0,0,NA,1
"22","Nicole","Hensley","G",2,20,"pwhl","58:30",58.5,24,2,26,0,0,0,0,0,0,0,NA,1
"123","Maddie","Rooney","G",2,20,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,20,"pwhl","60:00",60,45,1,46,0,0,0,0,0,0,0,NA,1
"28","Ann-Renée","Desbiens","G",3,20,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"70","Erica","Howe","G",6,21,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"64","Kristen","Campbell","G",6,21,"pwhl","60:00",60,19,0,19,0,0,0,0,0,0,0,NA,1
"155","Corinne","Schroeder","G",4,21,"pwhl","57:52",57.9,28,2,30,0,0,0,0,0,0,0,NA,1
"41","Abigail","Levy","G",4,21,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"85","Elaine","Chuli","G",3,22,"pwhl","0",NA,0,0,0,0,0,0,0,0,0,0,NA,0
"28","Ann-Renée","Desbiens","G",3,22,"pwhl","63:30",63.5,43,1,44,0,0,0,0,0,0,0,NA,1
